Step    Loss           Time (ms)         Tokens/sec          
773     7.521072       11702             683.64              
774     7.522046       11705             683.47              
775     7.536246       11705             683.47              
776     7.517207       11708             683.29              
777     7.537478       11703             683.59              
778     7.525083       11709             683.24              
779     7.517687       11699             683.82              
780     7.505251       11707             683.35              
781     7.527839       11665             685.81              
782     7.532445       11663             685.93              
783     7.514380       11668             685.64              
784     7.514979       11661             686.05              
785     7.522160       11656             686.34              
786     7.502495       11666             685.75              
787     7.499345       11678             685.05              
788     7.510490       11669             685.58              
789     7.525995       11665             685.81              
790     7.520780       11790             678.54              
791     7.516737       11777             679.29              
792     7.510150       11701             683.70              
793     7.512164       11942             669.90              
794     7.512673       11667             685.69              
795     7.521894       11677             685.11              
796     7.525454       11669             685.58              
797     7.528562       11795             678.25              
798     7.513467       11843             675.50              
799     7.506950       12275             651.73              
800     7.526303       11783             678.94              
801     7.511604       11779             679.17              
802     7.546535       11758             680.39              
803     7.514752       11856             674.76              
804     7.516553       11796             678.20              
805     7.514484       11795             678.25              
806     7.519374       11800             677.97              
807     7.500476       11829             676.30              
808     7.508144       11808             677.51              
809     7.514371       11805             677.68              
810     7.499793       11789             678.60              
811     7.501797       11712             683.06              
812     7.501349       11726             682.24              
813     7.492384       11818             676.93              
814     7.495901       12297             650.57              
815     7.515359       12208             655.31              
816     7.502624       11764             680.04              
817     7.494331       11763             680.10              
818     7.513643       11714             682.94              
819     7.526170       11671             685.46              
820     7.504610       11659             686.17              
821     7.525963       11664             685.87              
822     7.509325       11671             685.46              
823     7.511134       11664             685.87              
824     7.504810       11664             685.87              
825     7.515333       11662             685.99              
826     7.520284       11669             685.58              
827     7.517591       11675             685.22              
828     7.503681       11665             685.75              
829     7.525383       11662             685.99              
830     7.507681       11667             685.69              
831     7.506510       11697             683.94              
832     7.502305       11881             673.34              
833     7.518887       11716             682.83              
834     7.505994       11754             680.62              
835     7.522117       11752             680.74              
836     7.510425       12331             648.77              
837     7.505763       12067             662.97              
838     7.508116       11747             681.02              
839     7.512046       11867             674.14              
840     7.509375       11950             669.46              
841     7.497602       12180             656.81              
842     7.502643       12110             660.61              
843     7.522876       11816             677.05              
844     7.547204       12398             645.27              
845     7.527266       11714             682.94              
846     7.505853       11884             673.17              
847     7.532673       11697             683.94              
848     7.518654       11691             684.29              
849     7.503354       11688             684.46              
850     7.490802       11688             684.46              
851     7.527645       11695             684.05              
852     7.522836       11687             684.52              
853     7.508561       12196             655.95              
854     7.519076       11874             673.74              
855     7.527633       11770             679.69              
856     7.506920       12127             659.69              
857     7.506342       12295             650.67              
858     7.520987       11863             674.37              
859     7.513165       11813             677.22              
860     7.506793       11667             685.69              
861     7.493012       11668             685.64              
862     7.514056       11673             685.34              
863     7.500606       11686             684.58              
864     7.505354       11678             685.05              
865     7.528123       11673             685.34              
866     7.493331       11674             685.28              
867     7.502877       11671             685.46              
868     7.527620       11672             685.40              
869     7.528079       11675             685.22              
870     7.530490       11671             685.46              
871     7.533520       11670             685.52              
872     7.520541       11672             685.40              
873     7.523802       11671             685.46              
874     7.514350       11672             685.40              
875     7.511231       11674             685.28              
876     7.522303       11673             685.34              
877     7.511744       11672             685.40              
878     7.515716       11677             685.11              
879     7.519330       11673             685.34              
880     7.514782       11668             685.64              
881     7.528547       11670             685.52              
882     7.503016       11673             685.34              
883     7.520951       11675             685.22              
884     7.515256       11676             685.17              
885     7.507701       11669             685.58              
886     7.512943       11672             685.40              
887     7.524454       11673             685.34              
888     7.496388       11680             684.93              
889     7.503516       11676             685.17              
890     7.526867       11674             685.28              
891     7.514352       11676             685.17              
892     7.536491       11667             685.69              
893     7.538585       11673             685.34              
894     7.529616       11677             685.11              
895     7.523100       11677             685.11              
900     7.525954       11671             685.46              
901     7.513106       11667             685.69              
902     7.503776       11670             685.52              
903     7.525831       11675             685.22              
904     7.508094       11697             683.94              
905     7.523072       11668             685.64              
906     7.526310       11672             685.40              
907     7.519470       11673             685.34              
908     7.527889       11673             685.34              
909     7.577825       11670             685.52              
910     7.563653       11673             685.34              
911     7.524554       11673             685.34              
912     7.522134       11671             685.46              
913     7.510561       11666             685.75              
914     7.502970       11687             684.52              
915     7.514338       11678             685.05              
916     7.519200       11675             685.22              
917     7.510622       11674             685.28              
918     7.480292       11671             685.46              
919     7.487795       11672             685.40              
920     7.511812       11671             685.46              
921     7.493608       11673             685.34              
922     7.505312       11669             685.58              
923     7.510404       11667             685.69              
924     7.511860       11673             685.34              
925     7.507615       11667             685.69              
926     7.531608       11673             685.34              
927     7.511801       11673             685.34              
928     7.526098       11671             685.46              
