step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_attn, timer_mlp, timer_ln_f, timer_lm_head
103,7.958050,-1.000000,0.000136,2.144033,2026.241577,32343.626120,0.134656,1072.108582,41.005408,770.997116,71.438431,3.603328,2.306176,2.978144,639.619265,146.216897,3.072608,272.996029
104,7.816751,-1.000000,0.000138,2.155828,2030.937500,32268.841360,0.135104,1070.949585,41.068449,774.373505,72.868896,3.930752,2.314272,2.989440,635.238464,147.880991,2.938624,274.401917
105,7.831766,-1.000000,0.000139,2.204690,2032.989014,32236.278484,0.150560,1071.594177,40.426048,771.359360,77.887581,4.300320,2.502432,3.132704,639.267069,145.506624,2.935808,273.306721
106,7.792088,-1.000000,0.000140,2.267089,2115.901367,30973.088357,1.543296,1121.901627,43.378496,804.167046,71.987427,4.769856,2.747040,4.082336,669.313881,147.467488,3.288288,288.043518
107,7.764123,-1.000000,0.000141,2.262769,2078.927734,31523.943289,0.142304,1104.947464,43.313889,788.867775,69.872513,4.903968,2.323968,3.190336,661.925821,146.892928,2.944640,282.235073
108,7.806490,-1.000000,0.000143,2.066172,2091.664551,31331.983886,1.011008,1112.425888,41.885344,793.351997,70.690659,4.036768,2.821216,3.000736,664.235355,149.317153,2.942144,283.105087
109,7.752605,-1.000000,0.000144,1.911770,2087.236572,31398.453281,4.585280,1100.719437,41.960447,798.594978,70.756355,4.039200,2.465504,3.126272,654.611805,148.881567,2.947680,283.113987
110,7.847626,-1.000000,0.000145,1.890595,2065.377197,31730.765735,0.138848,1093.572235,41.795841,784.501595,71.110367,4.099968,2.315712,3.410528,650.069021,151.008097,2.943360,278.239777
111,7.769240,-1.000000,0.000147,2.066154,2049.064941,31983.368939,0.145888,1080.536942,42.380608,783.060318,71.936737,3.620416,2.322464,2.987904,643.070238,146.514239,2.938528,277.267326
112,7.727081,-1.000000,0.000148,2.109700,2096.564941,31258.750304,0.139200,1103.232544,43.221184,805.600220,71.534370,5.101504,2.686880,3.179296,654.793760,147.902782,2.939776,285.680321
113,7.556224,-1.000000,0.000149,2.118417,2067.395020,31699.795821,0.351744,1090.696594,41.275649,790.998718,71.293053,3.964768,2.320160,3.157984,648.565374,146.930304,2.938048,281.516701
114,7.482708,-1.000000,0.000151,1.996527,2166.173096,30254.276600,2.575808,1147.498169,45.320800,826.051361,71.477982,3.930816,2.317024,2.989600,674.359425,157.105121,4.638176,298.765118
115,7.552577,-1.000000,0.000152,1.780688,2050.642822,31958.759121,0.137056,1085.702515,41.604896,781.728539,71.563011,3.930400,2.843712,3.217152,647.060991,144.089025,3.225792,279.294655
116,7.517096,-1.000000,0.000153,1.828999,2050.300781,31964.090635,0.644576,1085.510864,41.163585,779.271202,71.976418,3.941920,2.596160,2.986624,642.996027,148.742975,3.209312,279.241413
117,7.612999,-1.000000,0.000155,1.975332,2047.925415,32001.165432,0.147168,1081.511124,41.733760,781.837471,69.490242,5.163008,2.588512,2.991072,642.482021,147.741120,2.939424,277.964092
118,7.374982,-1.000000,0.000156,2.140115,2052.703369,31926.678245,1.320832,1084.843018,41.977024,782.300911,70.067009,4.052544,2.302720,3.127232,643.838049,149.239583,2.943104,278.345371
119,7.370685,-1.000000,0.000157,1.974407,2070.366455,31654.299575,0.133504,1089.641129,43.213632,793.516701,71.758080,4.776800,2.304352,2.985568,647.875229,147.596799,3.237696,279.430622
120,7.489729,-1.000000,0.000159,1.761648,2076.883057,31554.978404,0.139328,1095.729813,42.141857,794.637733,71.716736,4.362752,2.508032,3.125088,651.733822,146.879840,2.942944,282.829311
121,7.495072,-1.000000,0.000160,1.580223,2050.354492,31963.253306,0.380960,1085.673584,41.703744,779.446587,70.607582,4.047680,2.314752,3.187936,644.535364,148.197664,2.942944,279.714367
122,7.414598,-1.000000,0.000161,1.536572,2065.390625,31730.559443,5.582816,1090.582489,42.215328,784.858536,71.482178,4.206592,2.317728,2.985984,650.136831,147.519615,2.936672,278.743778
123,7.431426,-1.000000,0.000162,1.517208,2062.852051,31769.607508,0.638080,1085.521362,42.996737,790.460747,70.776482,3.874752,2.314688,3.150848,646.315554,146.082657,3.430112,277.877220
124,7.412183,-1.000000,0.000164,1.584870,2056.192383,31872.504026,0.136608,1087.262512,41.446400,785.579590,70.239075,4.482752,2.314976,2.984032,646.500860,146.916703,2.942624,279.122879
125,7.371779,-1.000000,0.000165,1.778482,2044.887695,32048.703775,0.133472,1082.965561,41.265536,777.633698,71.559074,3.881536,2.280864,2.986624,643.580894,147.189824,3.390176,278.281349
126,7.475423,-1.000000,0.000166,1.460557,2066.195312,31718.201858,0.133632,1093.822678,42.323648,787.927551,70.427261,4.033728,2.308512,3.134272,650.152836,146.795969,2.937664,282.356991
127,7.346153,-1.000000,0.000168,1.831330,2049.335938,31979.139584,0.136448,1085.784653,41.130848,779.955200,71.124321,3.946176,2.310144,2.982912,644.885536,147.320160,3.222624,279.501480
128,7.377974,-1.000000,0.000169,1.817891,2043.372803,32072.463680,0.139360,1080.936234,40.551297,779.131493,72.381859,3.622944,2.312832,2.990336,644.040159,145.600833,2.940608,277.930496
129,7.351639,-1.000000,0.000170,1.628808,2053.925781,31907.676800,0.492448,1086.442703,43.413088,781.388512,70.400352,3.632800,2.317632,2.983520,645.897627,146.777920,3.287360,280.578114
130,7.400738,-1.000000,0.000172,1.383641,2053.582031,31913.017840,0.634304,1086.464111,41.295584,783.255394,71.294205,3.628544,2.314688,3.122656,647.960159,145.815200,3.210400,277.793377
131,7.421478,-1.000000,0.000173,1.227021,2044.512939,32054.578250,0.129696,1081.012039,40.862528,779.235901,72.552063,3.867008,2.307936,2.983744,644.389221,145.810464,2.943776,277.972961
