step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec,timer_data,timer_fwd,timer_loss,timer_bwd,timer_clip,timer_optim,timer_tok_emb,timer_pos_emb,timer_attn,timer_mlp,timer_ln_f,timer_lm_head
131,6.858448,-1.000000,0.00045517,0.429123,2312.27,28342.75,4.99,703.08,174.21,1418.19,1.44,7.04,0.70,0.39,196.37,121.36,0.93,371.02
132,6.841524,-1.000000,0.00045862,0.458220,2303.46,28451.10,1.41,705.61,169.39,1417.46,1.34,6.10,2.08,0.21,197.05,121.73,0.66,371.82
133,6.902283,-1.000000,0.00046207,0.473386,2297.31,28527.30,2.23,700.98,172.47,1411.12,1.25,6.08,0.96,0.24,194.94,122.82,0.87,370.03
134,6.746813,-1.000000,0.00046552,0.460001,2301.34,28477.26,3.18,697.22,175.12,1415.86,1.24,5.73,1.74,0.36,192.82,123.53,0.75,366.06
135,6.804468,-1.000000,0.00046897,0.527204,2324.53,28193.28,4.44,710.86,172.63,1425.14,1.54,6.96,0.79,0.19,196.55,122.48,0.74,373.53
136,6.764254,-1.000000,0.00047241,0.388998,2284.71,28684.60,5.79,687.57,181.42,1400.75,1.27,6.23,0.97,0.36,193.55,121.68,0.87,360.73
137,6.854052,-1.000000,0.00047586,0.537872,2212.86,29616.02,1.75,668.95,166.39,1366.86,1.41,5.68,0.92,0.24,193.42,121.13,0.90,348.28
138,6.662230,-1.000000,0.00047931,0.424964,2172.43,30167.14,1.80,661.24,161.25,1340.38,1.25,5.60,1.21,0.22,194.09,120.90,0.79,340.04
139,6.717425,-1.000000,0.00048276,0.436973,2211.99,29627.68,2.64,670.44,163.25,1367.51,1.28,5.59,0.95,0.24,194.74,120.27,0.80,346.73
140,6.708775,-1.000000,0.00048621,0.389655,2158.16,30366.62,1.71,659.70,159.31,1329.68,1.24,5.66,1.00,0.26,194.70,120.63,0.84,338.78
141,6.672931,-1.000000,0.00048966,0.328044,2215.20,29584.65,1.59,671.61,162.70,1371.14,1.21,5.93,0.97,0.24,193.81,121.64,0.80,349.34
142,6.656983,-1.000000,0.00049310,0.484891,2177.21,30100.86,1.28,670.28,162.37,1335.03,1.19,5.59,0.94,0.24,193.38,121.33,0.80,348.13
143,6.639631,-1.000000,0.00049655,0.302009,2192.60,29889.66,1.36,666.90,163.04,1353.16,1.26,5.60,0.96,0.24,194.52,120.94,0.77,345.56
144,6.780370,-1.000000,0.00050000,0.462980,2228.61,29406.68,1.51,684.95,168.20,1366.04,1.26,5.60,0.98,0.49,193.10,121.13,0.80,360.58
145,6.612744,-1.000000,0.00050345,0.305756,2215.58,29579.55,2.34,676.13,166.97,1360.80,1.25,5.60,1.02,0.22,192.71,121.19,0.83,352.34
146,6.926760,-1.000000,0.00050690,0.660161,2176.26,30114.00,1.53,662.92,160.81,1343.22,1.25,5.60,0.99,0.24,193.97,120.96,0.82,341.50
147,6.697109,-1.000000,0.00051034,0.473274,2184.99,29993.69,2.34,665.00,160.30,1349.63,1.27,5.66,0.94,0.24,192.52,121.22,0.85,344.69
148,6.627155,-1.000000,0.00051379,0.392388,2187.23,29963.02,1.29,665.27,164.13,1348.54,1.24,5.60,0.95,0.24,193.17,121.44,0.84,345.47
149,6.794675,-1.000000,0.00051724,0.416159,2193.64,29875.41,2.66,668.26,161.46,1353.47,1.27,5.61,0.97,0.24,194.01,120.10,0.84,347.72
150,7.319492,-1.000000,0.00052069,0.568267,2219.75,29524.01,2.23,680.92,162.48,1365.47,1.26,5.60,0.89,0.22,193.94,120.83,0.85,357.42
151,7.355476,-1.000000,0.00052414,0.586888,2186.98,29966.42,1.31,672.08,162.94,1342.40,1.27,5.60,0.96,0.23,194.82,121.08,0.81,349.10
152,6.744730,-1.000000,0.00052759,0.465604,2184.09,30006.03,1.55,667.73,160.93,1345.98,1.25,5.60,0.96,0.24,193.90,121.85,0.85,344.60
153,6.607948,-1.000000,0.00053103,0.471446,2184.49,30000.55,2.17,663.27,160.17,1351.28,1.26,5.60,0.93,0.23,193.68,120.34,0.80,342.39
154,6.696273,-1.000000,0.00053448,0.501906,2206.29,29704.19,1.46,674.69,162.99,1359.01,1.25,5.60,0.96,0.24,193.28,121.48,0.88,353.09
155,8.313806,-1.000000,0.00053793,3.328487,2193.40,29878.70,1.64,670.01,163.43,1349.24,2.66,5.59,0.95,0.24,194.32,121.35,0.82,348.78
156,7.360584,-1.000000,0.00054138,1.402394,2239.03,29269.76,1.73,681.93,169.50,1374.91,2.23,5.90,0.81,0.22,192.83,120.95,0.82,360.36
157,6.692656,-1.000000,0.00054483,1.326948,2243.76,29208.14,1.61,690.27,166.00,1376.47,1.87,6.19,0.98,0.23,194.57,123.41,0.88,363.52
158,6.644630,-1.000000,0.00054828,0.698314,2186.11,29978.32,1.46,665.33,163.29,1347.39,1.25,5.60,0.97,0.24,192.69,119.58,0.86,344.22
159,6.628378,-1.000000,0.00055172,0.883822,2213.28,29610.37,1.77,674.72,164.30,1364.16,1.28,5.60,0.95,0.24,194.02,120.51,0.84,352.48
160,6.649447,-1.000000,0.00055517,0.752228,2216.44,29568.17,1.53,680.57,164.41,1361.29,1.15,5.61,0.99,0.24,195.74,120.27,0.83,355.74
