step,type,loss,lr,norm,dt_ms,tok_per_sec
320,train,6.287236,3.798817e-04,0.4345,1088.51,60207.35
321,train,6.154192,3.810651e-04,0.5011,1089.05,60177.18
322,train,6.148702,3.822485e-04,0.4068,1089.03,60178.09
323,train,6.261440,3.834320e-04,0.5250,1085.87,60353.42
324,train,6.381589,3.846154e-04,0.4739,1087.87,60242.67
325,train,6.313612,3.857988e-04,0.5269,1086.88,60297.51
326,train,6.271804,3.869822e-04,0.5528,1086.56,60315.11
327,train,6.207747,3.881657e-04,0.3816,1086.98,60291.65
328,train,6.157411,3.893491e-04,0.5233,1088.39,60213.81
329,train,6.144108,3.905325e-04,0.4312,1088.01,60234.63
330,train,6.374425,3.917160e-04,0.5071,1087.61,60256.93
331,train,6.167632,3.928994e-04,0.5253,1088.30,60218.56
332,train,6.326816,3.940828e-04,0.9087,1087.95,60238.00
333,train,6.141923,3.952663e-04,0.7398,1087.54,60260.94
334,train,6.217584,3.964497e-04,0.7450,1088.29,60219.03
335,train,6.357627,3.976331e-04,1.0509,1087.68,60253.06
336,train,6.129601,3.988166e-04,0.6649,1088.57,60203.63
337,train,6.177559,4.000000e-04,0.8196,1087.81,60245.96
338,train,6.181266,4.000000e-04,0.6109,1089.51,60151.75
339,train,6.200695,3.999999e-04,0.4953,1090.74,60083.84
340,train,6.193499,3.999996e-04,0.6645,1087.72,60250.99
341,train,6.146311,3.999991e-04,0.4037,1088.26,60220.70
342,train,6.145312,3.999985e-04,0.5095,1087.95,60238.09
343,train,6.185501,3.999976e-04,0.5638,1087.66,60254.05
344,train,6.256289,3.999966e-04,0.3958,1089.11,60173.79
345,train,6.132703,3.999953e-04,0.4495,1086.30,60329.74
346,train,6.176918,3.999939e-04,0.6916,1087.07,60286.56
347,train,6.175815,3.999922e-04,0.5554,1086.25,60332.33
348,train,6.243892,3.999904e-04,0.5798,1087.97,60236.94
349,train,6.415646,3.999884e-04,0.6299,1089.69,60141.90
350,train,6.077082,3.999862e-04,1.9661,1088.35,60215.87
351,train,6.225235,3.999838e-04,1.2376,1086.97,60292.42
352,train,6.134126,3.999812e-04,0.6671,1088.35,60215.76
353,train,6.361480,3.999785e-04,0.8472,1090.05,60122.16
354,train,6.195717,3.999755e-04,0.6560,1086.97,60292.31
355,train,6.200138,3.999723e-04,0.6823,1087.09,60285.77
356,train,6.171699,3.999690e-04,0.5476,1087.84,60244.11
357,train,6.291106,3.999654e-04,0.6741,1088.13,60227.85
358,train,6.067955,3.999617e-04,0.5828,1089.98,60126.00
359,train,6.122507,3.999578e-04,0.6564,1088.88,60186.62
360,train,6.144020,3.999537e-04,0.6356,1087.97,60237.03
361,train,6.290986,3.999494e-04,0.7162,1085.98,60347.25
362,train,6.132514,3.999449e-04,0.6639,1088.77,60192.44
363,train,6.211010,3.999402e-04,1.0399,1087.96,60237.69
364,train,6.210043,3.999353e-04,0.5618,1087.72,60251.03
365,train,6.238926,3.999302e-04,0.5589,1088.27,60220.27
366,train,6.125527,3.999249e-04,0.6458,1090.25,60110.86
367,train,6.213038,3.999195e-04,0.5067,1088.00,60235.16
368,train,6.064123,3.999138e-04,0.5417,1089.21,60168.27
369,train,6.048687,3.999080e-04,0.6410,1089.05,60176.97
370,train,6.101821,3.999020e-04,0.4576,1090.07,60120.99
371,train,6.062510,3.998958e-04,0.6468,1087.62,60256.22
372,train,6.112537,3.998893e-04,0.5074,1088.95,60182.62
373,train,6.390856,3.998827e-04,0.5829,1088.29,60219.31
374,train,6.251029,3.998759e-04,0.7009,1087.80,60246.22
375,train,6.506855,3.998690e-04,0.6587,1088.40,60213.10
376,train,6.206096,3.998618e-04,0.4582,1087.08,60286.10
377,train,6.228345,3.998544e-04,0.4430,1088.50,60207.90
378,train,6.358667,3.998468e-04,0.5332,1088.02,60234.10
379,train,6.323771,3.998391e-04,0.5370,1088.31,60218.32
380,train,6.320663,3.998311e-04,0.5940,1089.07,60175.86
381,train,6.281973,3.998230e-04,0.6401,1087.51,60262.61
382,train,6.288011,3.998147e-04,0.5673,1088.82,60190.06
383,train,6.235311,3.998062e-04,0.4048,1088.24,60222.00
384,train,6.370479,3.997975e-04,0.4423,1088.15,60226.77
385,train,6.296521,3.997886e-04,0.5459,1087.43,60266.74
386,train,6.214304,3.997795e-04,0.4169,1089.67,60143.22
387,train,6.182464,3.997702e-04,0.5605,1087.05,60288.20
388,train,6.320525,3.997607e-04,0.5285,1087.59,60257.73
389,train,6.340807,3.997510e-04,0.4460,1088.55,60204.64
390,train,6.318032,3.997412e-04,0.4445,1088.08,60230.83
391,train,6.291903,3.997311e-04,0.5040,1088.04,60232.89
392,train,6.167346,3.997209e-04,0.6220,1086.59,60313.60
393,train,6.197003,3.997105e-04,0.4227,1086.87,60297.90
394,train,6.200946,3.996999e-04,0.4879,1086.19,60335.89
395,train,6.191737,3.996890e-04,0.4583,1088.89,60185.82
396,train,6.183737,3.996780e-04,0.5184,1086.39,60324.65
397,train,6.180558,3.996668e-04,0.4692,1087.54,60260.78
398,train,6.347505,3.996555e-04,0.5433,1087.09,60285.52
399,train,6.215949,3.996439e-04,0.5353,1088.97,60181.38
400,train,6.208482,3.996321e-04,0.4401,1088.34,60216.45
401,train,6.367400,3.996202e-04,0.4400,1086.31,60328.84
402,train,6.278090,3.996080e-04,0.5674,1088.75,60194.02
403,train,6.123466,3.995957e-04,0.4860,1086.59,60313.47
404,train,6.346164,3.995831e-04,0.4708,1087.65,60254.75
