step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
212,7.662509,-1.000000,0.000100,0.2727,985.78,66481.35
213,7.622404,-1.000000,0.000100,0.1921,982.16,66726.64
214,7.659379,-1.000000,0.000100,0.1903,982.37,66712.32
215,7.597273,-1.000000,0.000100,0.1806,983.09,66663.56
216,7.680892,-1.000000,0.000100,0.2245,989.72,66216.45
217,7.551773,-1.000000,0.000100,0.3450,987.41,66371.73
218,7.507253,-1.000000,0.000100,0.3182,993.08,65992.42
219,7.627440,-1.000000,0.000100,0.1764,984.60,66561.33
220,7.669721,-1.000000,0.000100,0.1950,982.54,66700.81
221,7.603720,-1.000000,0.000100,0.1942,983.16,66658.50
222,7.553869,-1.000000,0.000100,0.1811,981.74,66754.93
223,7.701407,-1.000000,0.000100,0.2038,979.28,66922.56
224,7.613743,-1.000000,0.000100,0.1830,977.53,67042.77
225,7.693642,-1.000000,0.000100,0.2925,981.53,66769.54
226,7.539132,-1.000000,0.000100,0.1989,979.55,66904.13
227,7.675089,-1.000000,0.000100,0.2065,981.75,66754.33
228,7.620830,-1.000000,0.000100,0.1692,979.96,66876.04
229,7.631409,-1.000000,0.000100,0.2258,976.23,67131.60
230,7.569172,-1.000000,0.000100,0.2979,978.71,66961.76
231,7.605901,-1.000000,0.000100,0.1987,975.45,67185.40
232,7.594116,-1.000000,0.000100,0.1784,982.28,66718.15
233,7.524363,-1.000000,0.000100,0.1650,980.29,66853.66
234,7.553102,-1.000000,0.000100,0.2449,982.50,66703.61
235,7.601610,-1.000000,0.000100,0.1905,980.90,66812.32
236,7.658689,-1.000000,0.000100,0.2008,979.26,66923.91
237,7.541732,-1.000000,0.000100,0.2979,983.17,66657.62
238,7.507146,-1.000000,0.000100,0.3387,975.91,67154.07
239,7.642313,-1.000000,0.000100,0.2075,975.39,67189.52
240,7.637332,-1.000000,0.000100,0.2108,985.17,66522.21
241,7.819267,-1.000000,0.000100,0.2669,980.75,66822.26
242,7.717177,-1.000000,0.000100,0.2437,979.29,66922.05
243,7.868192,-1.000000,0.000100,0.5208,978.34,66986.88
244,7.704609,-1.000000,0.000100,0.2115,979.98,66874.62
245,7.780412,-1.000000,0.000100,0.2595,981.44,66775.12
246,7.603192,-1.000000,0.000100,0.2515,976.00,67147.59
247,7.657257,-1.000000,0.000100,0.1829,978.99,66942.59
248,7.654693,-1.000000,0.000100,0.1699,979.83,66885.02
249,7.648118,-1.000000,0.000099,0.1969,980.66,66828.68
250,7.607135,-1.000000,0.000099,0.2338,978.48,66977.30
251,7.714100,-1.000000,0.000099,0.1909,977.23,67063.28
252,7.794057,-1.000000,0.000099,0.3867,983.08,66663.78
253,7.582131,-1.000000,0.000099,0.1957,979.20,66928.11
254,7.565830,-1.000000,0.000099,0.1889,976.49,67113.71
255,7.626229,-1.000000,0.000099,0.1887,973.41,67326.03
256,7.618537,-1.000000,0.000099,0.2346,977.42,67049.82
257,7.528662,-1.000000,0.000099,0.1831,978.42,66981.16
258,7.988126,-1.000000,0.000099,0.4667,979.96,66875.89
259,7.553025,-1.000000,0.000099,0.2070,980.37,66848.18
260,7.667482,-1.000000,0.000099,0.1724,977.19,67065.93
261,7.707173,-1.000000,0.000099,0.1833,980.29,66853.93
262,7.626747,-1.000000,0.000099,0.2231,976.18,67134.89
263,7.698880,-1.000000,0.000099,0.2335,977.19,67065.59
264,7.685578,-1.000000,0.000099,0.2196,980.85,66815.34
265,7.710889,-1.000000,0.000099,0.5233,985.87,66475.29
266,7.660091,-1.000000,0.000099,0.2527,977.87,67018.99
267,7.620672,-1.000000,0.000099,0.2171,978.00,67010.00
268,7.637490,-1.000000,0.000099,0.3396,978.40,66982.72
269,7.732853,-1.000000,0.000099,0.2468,979.17,66930.34
270,7.619071,-1.000000,0.000099,0.2055,976.08,67142.34
271,7.573974,-1.000000,0.000099,0.1875,978.67,66964.46
272,7.580781,-1.000000,0.000099,0.2628,978.64,66966.71
273,7.700324,-1.000000,0.000099,0.3239,980.11,66866.13
274,7.614241,-1.000000,0.000099,0.2675,980.43,66844.13
275,7.504267,-1.000000,0.000099,0.2570,977.66,67033.32
276,7.558199,-1.000000,0.000099,0.2268,978.97,66943.52
277,7.541931,-1.000000,0.000099,0.2495,977.63,67035.41
278,7.398127,-1.000000,0.000099,0.7160,977.79,67024.67
279,7.664042,-1.000000,0.000099,0.2089,977.53,67042.66
280,7.579457,-1.000000,0.000099,0.2018,979.83,66885.02
281,7.518316,-1.000000,0.000099,0.2731,979.83,66885.02
282,7.597025,-1.000000,0.000099,0.2158,978.14,67000.66
283,7.529483,-1.000000,0.000099,0.2190,980.09,66867.04
284,7.667694,-1.000000,0.000099,0.2583,979.05,66938.67
285,7.655447,-1.000000,0.000099,0.2463,980.38,66847.61
286,7.617100,-1.000000,0.000099,0.2308,978.43,66981.03
287,7.640351,-1.000000,0.000099,0.2795,979.66,66896.79
288,7.575585,-1.000000,0.000099,0.2233,982.18,66724.76
289,7.620608,-1.000000,0.000099,0.3278,981.45,66774.83
290,7.629488,-1.000000,0.000099,0.2310,989.40,66238.11
291,7.609925,-1.000000,0.000099,0.2726,985.41,66506.31
292,7.822455,-1.000000,0.000099,0.2807,979.69,66894.32
293,7.650364,-1.000000,0.000099,0.1948,990.63,66156.20
294,7.595399,-1.000000,0.000099,0.2497,979.91,66879.59
295,7.617191,-1.000000,0.000099,0.1990,977.86,67019.76
296,7.589317,-1.000000,0.000099,0.1687,979.71,66893.00
297,7.604050,-1.000000,0.000099,0.1626,999.26,65584.72
298,7.540981,-1.000000,0.000099,0.2135,988.52,66297.14
299,7.456685,-1.000000,0.000099,0.2642,992.70,66017.88
300,7.705524,7.698692,0.000099,0.3243,980.10,66866.47
301,7.687879,-1.000000,0.000099,0.2125,979.52,66906.49
302,7.457821,-1.000000,0.000099,0.2033,976.99,67079.61
303,7.584965,-1.000000,0.000098,0.2334,990.24,66182.18
304,7.421639,-1.000000,0.000098,0.3855,988.20,66318.48
305,7.551534,-1.000000,0.000098,0.4099,994.01,65930.68
306,7.484812,-1.000000,0.000098,0.1909,982.68,66691.38
307,7.583371,-1.000000,0.000098,0.3153,982.86,66679.18
308,7.608067,-1.000000,0.000098,0.2467,977.51,67043.47
309,7.561925,-1.000000,0.000098,0.2326,978.30,66989.38
310,7.700749,-1.000000,0.000098,0.2829,983.73,66619.72
311,7.711727,-1.000000,0.000098,0.2116,991.15,66121.16
312,7.480956,-1.000000,0.000098,0.2312,979.11,66934.52
313,7.682742,-1.000000,0.000098,0.2495,978.93,66946.25
314,7.665195,-1.000000,0.000098,0.3080,979.43,66912.15
315,7.698777,-1.000000,0.000098,0.2069,976.94,67082.87
316,7.657449,-1.000000,0.000098,0.1683,979.57,66903.07
317,7.674741,-1.000000,0.000098,0.2153,979.75,66890.41
318,7.568013,-1.000000,0.000098,0.2171,978.06,67006.13
319,7.813560,-1.000000,0.000098,0.3258,984.18,66589.29
320,7.669825,-1.000000,0.000098,0.1608,984.86,66543.71
321,7.519965,-1.000000,0.000098,0.2313,979.29,66922.05
322,7.549649,-1.000000,0.000098,0.2174,979.07,66937.32
323,7.675059,-1.000000,0.000098,0.2749,978.99,66942.13
324,7.740629,-1.000000,0.000098,0.2118,980.97,66807.63
325,7.678324,-1.000000,0.000098,0.1981,979.53,66905.84
326,7.651005,-1.000000,0.000098,0.1778,983.55,66632.34
327,7.598518,-1.000000,0.000098,0.1788,979.78,66888.24
328,7.559302,-1.000000,0.000098,0.1814,978.41,66982.41
329,7.538445,-1.000000,0.000098,0.2140,979.90,66880.37
330,7.709803,-1.000000,0.000098,0.1972,980.93,66809.95
331,7.588490,-1.000000,0.000098,0.2109,979.38,66915.96
332,7.582019,-1.000000,0.000098,0.5210,982.40,66710.00
333,7.556159,-1.000000,0.000098,0.2732,983.96,66604.24
334,7.590790,-1.000000,0.000098,0.1792,981.20,66791.49
335,7.591401,-1.000000,0.000098,0.5885,979.26,66924.33
336,7.509933,-1.000000,0.000098,0.1989,980.22,66858.45
337,7.572848,-1.000000,0.000098,0.1977,979.39,66915.00
338,7.616171,-1.000000,0.000098,0.2073,980.21,66859.25
339,7.592923,-1.000000,0.000098,0.1952,980.52,66838.04
340,7.614933,-1.000000,0.000098,0.1863,975.76,67163.83
341,7.573975,-1.000000,0.000097,0.2441,982.57,66698.37
342,7.527514,-1.000000,0.000097,0.2497,983.89,66608.75
343,7.586564,-1.000000,0.000097,0.1971,975.56,67178.08
344,7.617766,-1.000000,0.000097,0.2068,981.04,66802.54
345,7.584707,-1.000000,0.000097,0.1968,981.84,66747.93
346,7.587994,-1.000000,0.000097,0.2310,975.57,67177.14
347,7.577354,-1.000000,0.000097,0.1686,978.82,66954.24
348,7.643633,-1.000000,0.000097,0.2434,984.87,66542.54
349,7.801017,-1.000000,0.000097,0.2400,986.67,66421.44
350,7.543420,-1.000000,0.000097,1.0004,984.48,66569.32
351,7.658190,-1.000000,0.000097,0.6301,976.81,67091.91
352,7.548708,-1.000000,0.000097,0.1736,983.11,66662.20
353,7.728700,-1.000000,0.000097,0.2133,983.62,66627.33
354,7.589410,-1.000000,0.000097,0.2633,976.72,67098.28
355,7.620568,-1.000000,0.000097,0.2482,981.12,66797.20
356,7.630055,-1.000000,0.000097,0.2287,981.31,66783.88
357,7.702221,-1.000000,0.000097,0.2176,982.24,66721.03
358,7.513945,-1.000000,0.000097,0.2317,984.76,66549.98
359,7.563730,-1.000000,0.000097,0.1824,983.50,66635.34
360,7.644185,-1.000000,0.000097,0.2308,981.40,66777.91
361,7.687383,-1.000000,0.000097,0.3485,981.06,66801.47
362,7.568460,-1.000000,0.000097,0.1948,980.03,66871.13
363,7.685766,-1.000000,0.000097,0.4238,981.68,66759.23
364,7.650000,-1.000000,0.000097,0.2020,983.76,66618.16
365,7.654984,-1.000000,0.000097,0.1789,981.23,66789.40
366,7.585463,-1.000000,0.000097,0.2191,983.88,66609.84
367,7.652735,-1.000000,0.000097,0.2249,979.82,66885.59
368,7.513687,-1.000000,0.000097,0.3149,980.93,66809.98
369,7.495543,-1.000000,0.000097,0.2311,976.73,67097.28
370,7.567825,-1.000000,0.000097,0.2001,980.32,66851.56
371,7.547945,-1.000000,0.000097,0.2379,982.74,66687.02
372,7.595540,-1.000000,0.000096,0.1886,981.32,66783.43
373,7.862381,-1.000000,0.000096,0.4311,980.96,66808.21
374,7.684682,-1.000000,0.000096,0.2532,983.34,66646.02
375,7.849754,-1.000000,0.000096,0.4308,979.81,66886.53
376,7.612274,-1.000000,0.000096,0.2626,976.59,67107.06
377,7.603075,-1.000000,0.000096,0.2235,979.95,66876.90
378,7.761323,-1.000000,0.000096,0.2353,977.66,67033.79
379,7.689375,-1.000000,0.000096,0.2465,979.00,66941.79
380,7.716496,-1.000000,0.000096,0.3914,979.84,66884.66
381,7.693401,-1.000000,0.000096,0.1825,982.28,66718.28
382,7.691319,-1.000000,0.000096,0.3034,979.29,66921.92
383,7.655373,-1.000000,0.000096,0.1838,980.96,66808.00
384,7.747792,-1.000000,0.000096,0.1765,978.78,66956.74
385,7.686057,-1.000000,0.000096,0.2506,982.27,66718.80
386,7.649918,-1.000000,0.000096,0.2209,979.02,66940.27
387,7.578907,-1.000000,0.000096,0.3525,979.77,66889.40
388,7.707069,-1.000000,0.000096,0.2995,978.12,67002.14
389,7.764929,-1.000000,0.000096,0.2565,983.24,66653.05
390,7.705842,-1.000000,0.000096,0.1821,983.42,66640.83
391,7.730666,-1.000000,0.000096,0.2236,976.06,67143.12
392,7.636946,-1.000000,0.000096,0.2697,984.92,66539.19
393,7.604757,-1.000000,0.000096,0.2418,980.09,66867.32
